model,samples,train_time,predict_time,f1_score
KNeighborsClassifier,200,0.004256725311279297,0.02563762664794922,0.7655310693716869
LogisticRegression,200,2.0973920822143555,0.009367704391479492,0.8112537420754603
KNeighborsClassifier,500,0.013455390930175781,0.06780028343200684,0.8700890616997549
LogisticRegression,500,4.946507215499878,0.015973806381225586,0.8662277252655041
KNeighborsClassifier,1000,0.03258490562438965,0.11997318267822266,0.8927848229608364
LogisticRegression,1000,9.398128271102905,0.016508817672729492,0.8532607366733377
KNeighborsClassifier,2000,0.03654336929321289,0.44600677490234375,0.918464251159026
LogisticRegression,2000,18.738588571548462,0.037413597106933594,0.897349227651509
KNeighborsClassifier,6000,0.08641266822814941,3.9558451175689697,0.9406898399169136
LogisticRegression,6000,56.14853262901306,0.09884333610534668,0.8913237464023944
